substation_name,latitude,longitude,pnode_match,pnode_id,type
NIVO,39.02340639,-77.46050049,NIVO,1207066638,LOAD
NIVO,39.02340639,-77.46050049,NIVO,2156119470,LOAD
North Anna,38.06129172,-77.79721628,NORTH ANNA,35010349,EHV
Northeast,37.55070134,-77.3623233,NORTHEAS,63381219,LOAD
Northeast,37.55070134,-77.3623233,NORTHEAS,63381221,LOAD
North Pole,37.6362189,-77.79385635,NPOLE,34885555,LOAD
North Pole,37.6362189,-77.79385635,NPOLE,1268563614,LOAD
North River D.P.,38.34759674,-78.89656327,NRIVERDP,34886847,LOAD
North Alexandria,38.82052447,-77.05197835,NRTHALEX,2156113293,LOAD
Northern Neck,37.94847795,-76.71203979,NRTHNECK,34885559,LOAD
Northern Neck,37.94847795,-76.71203979,NRTHNECK,34885561,LOAD
Northern Neck,37.94847795,-76.71203979,NRTHNECK,40243747,GEN
Northern Neck,37.94847795,-76.71203979,NRTHNECK,40243749,GEN
Northern Neck,37.94847795,-76.71203979,NRTHNECK,40243751,GEN
Northern Neck,37.94847795,-76.71203979,NRTHNECK,40243753,GEN
Northern Neck,37.94847795,-76.71203979,NRTHNECK,2156109184,GEN
Northern Neck,37.94847795,-76.71203979,NRTHNECK,2156109766,GEN
Northern Neck,37.94847795,-76.71203979,NRTHNECK,2156109767,GEN
Northern Neck,37.94847795,-76.71203979,NRTHNECK,2156109768,GEN
North Shenandoah,38.52692713,-78.620324,NSHE APS,5021428,LOAD
North Shenandoah,38.52692713,-78.620324,NSHE APS,5021429,LOAD
Northwest,37.63046819,-77.54155697,NWEST,34885569,LOAD
Northwest,37.63046819,-77.54155697,NWEST,34885571,LOAD
Northwest,37.63046819,-77.54155697,NWEST,34885573,LOAD
Northwest,37.63046819,-77.54155697,NWEST,93353465,LOAD
Winters Branch,38.732736,-77.507383,NWINTERS,2156115428,LOAD
Newport News,36.98655702,-76.43043748,NWPORTNW,34885941,LOAD
Newport News,36.98655702,-76.43043748,NWPORTNW,34885943,LOAD
Newport News,36.98655702,-76.43043748,NWPORTNW,34885945,LOAD
Westmoreland,38.18440517,-76.9986338,OAKGROV4,34886335,LOAD
Westmoreland,38.18440517,-76.9986338,OAKGROV4,1183224859,LOAD
Oak Hall,37.94334067,-75.57043579,OAKHALL,38367797,LOAD
Oak Hall,37.94334067,-75.57043579,OAKHALL,1318144167,GEN
