Datacenter URL,Country,City,Datacenter Name
https://www.datacentermap.com/france/bordeaux/proxicenter-bordeaux-bouliac/,france,bordeaux,proxicenter-bordeaux-bouliac
https://www.datacentermap.com/france/lille/proxicenter-lille-lambersart/,france,lille,proxicenter-lille-lambersart
https://www.datacentermap.com/france/rennes/proxicenter-rennes-cesson/,france,rennes,proxicenter-rennes-cesson
https://www.datacentermap.com/belgium/brussels/proximus-hd-datacenter/,belgium,brussels,proximus-hd-datacenter
https://www.datacentermap.com/belgium/brussels/proximus-netcenter1/,belgium,brussels,proximus-netcenter1
https://www.datacentermap.com/belgium/brussels/proximus-netcenter2/,belgium,brussels,proximus-netcenter2
https://www.datacentermap.com/spain/santander/proyecto-altamira-1/,spain,santander,proyecto-altamira-1
https://www.datacentermap.com/spain/santander/proyecto-altamira-2/,spain,santander,proyecto-altamira-2
https://www.datacentermap.com/spain/santander/proyecto-altamira-3/,spain,santander,proyecto-altamira-3
https://www.datacentermap.com/spain/santander/proyecto-altamira-dc1/,spain,santander,proyecto-altamira-dc1
https://www.datacentermap.com/spain/santander/proyecto-altamira-dc10/,spain,santander,proyecto-altamira-dc10
https://www.datacentermap.com/spain/santander/proyecto-altamira-dc11/,spain,santander,proyecto-altamira-dc11
https://www.datacentermap.com/spain/santander/proyecto-altamira-dc12/,spain,santander,proyecto-altamira-dc12
https://www.datacentermap.com/spain/santander/proyecto-altamira-dc2/,spain,santander,proyecto-altamira-dc2
https://www.datacentermap.com/spain/santander/proyecto-altamira-dc3/,spain,santander,proyecto-altamira-dc3
https://www.datacentermap.com/spain/santander/proyecto-altamira-dc4/,spain,santander,proyecto-altamira-dc4
https://www.datacentermap.com/spain/santander/proyecto-altamira-dc5/,spain,santander,proyecto-altamira-dc5
https://www.datacentermap.com/spain/santander/proyecto-altamira-dc6/,spain,santander,proyecto-altamira-dc6
https://www.datacentermap.com/spain/santander/proyecto-altamira-dc7/,spain,santander,proyecto-altamira-dc7
https://www.datacentermap.com/spain/santander/proyecto-altamira-dc8/,spain,santander,proyecto-altamira-dc8
https://www.datacentermap.com/spain/santander/proyecto-altamira-dc9/,spain,santander,proyecto-altamira-dc9
https://www.datacentermap.com/spain/zaragoza/proyecto-ebro/,spain,zaragoza,proyecto-ebro
https://www.datacentermap.com/portugal/lisbon/ptisp-lis1/,portugal,lisbon,ptisp-lis1
https://www.datacentermap.com/portugal/lisbon/pt-prime-carnide/,portugal,lisbon,pt-prime-carnide
https://www.datacentermap.com/portugal/lisbon/pt-prime-picoas/,portugal,lisbon,pt-prime-picoas
https://www.datacentermap.com/portugal/porto/pt-prime-tenente-valadim/,portugal,porto,pt-prime-tenente-valadim
https://www.datacentermap.com/the-netherlands/amsterdam/puredc-amsterdam-westpoort-ams01/,the-netherlands,amsterdam,puredc-amsterdam-westpoort-ams01
https://www.datacentermap.com/finland/seinajoki/puredc-finland-seinajoki/,finland,seinajoki,puredc-finland-seinajoki
https://www.datacentermap.com/spain/madrid/puredc-meco/,spain,madrid,puredc-meco
https://www.datacentermap.com/ireland/dublin/puredc-orion-1/,ireland,dublin,puredc-orion-1
https://www.datacentermap.com/ireland/dublin/puredc-orion-2/,ireland,dublin,puredc-orion-2
https://www.datacentermap.com/ireland/dublin/puredc-orion-3/,ireland,dublin,puredc-orion-3
https://www.datacentermap.com/ireland/dublin/puredc-orion-campus/,ireland,dublin,puredc-orion-campus
https://www.datacentermap.com/germany/berlin/pyur-berlin/,germany,berlin,pyur-berlin
https://www.datacentermap.com/italy/brescia/qarnot-brescia/,italy,brescia,qarnot-brescia
https://www.datacentermap.com/finland/pori/qarnot-kankaanpaa/,finland,pori,qarnot-kankaanpaa
https://www.datacentermap.com/germany/hamburg/qbeyond-hamburg-secondary/,germany,hamburg,qbeyond-hamburg-secondary
https://www.datacentermap.com/germany/cologne/qsc-cologne/,germany,cologne,qsc-cologne
https://www.datacentermap.com/germany/hamburg/qsc-hamburg/,germany,hamburg,qsc-hamburg
https://www.datacentermap.com/germany/munich/qsc-munich/,germany,munich,qsc-munich
https://www.datacentermap.com/germany/nuremberg/qsc-nuremberg/,germany,nuremberg,qsc-nuremberg
https://www.datacentermap.com/spain/zaragoza/qts-calatorao/,spain,zaragoza,qts-calatorao
https://www.datacentermap.com/finland/hameenlinna/qts-forssa/,finland,hameenlinna,qts-forssa
https://www.datacentermap.com/greece/chania/quadrivium-digital-chania/,greece,chania,quadrivium-digital-chania
https://www.datacentermap.com/italy/genova/quadrivium-digital-gen01/,italy,genova,quadrivium-digital-gen01
https://www.datacentermap.com/spain/barcelona/quetta-dc-molins-de-rei/,spain,barcelona,quetta-dc-molins-de-rei
https://www.datacentermap.com/spain/madrid/quetta-dc-tres-cantos/,spain,madrid,quetta-dc-tres-cantos
https://www.datacentermap.com/sweden/vasteras/quicknet-broadband-data-center/,sweden,vasteras,quicknet-broadband-data-center
https://www.datacentermap.com/the-netherlands/amsterdam/qupra-data-center/,the-netherlands,amsterdam,qupra-data-center
https://www.datacentermap.com/the-netherlands/amsterdam/qupra-dc2/,the-netherlands,amsterdam,qupra-dc2
https://www.datacentermap.com/bulgaria/sofia/rackbg/,bulgaria,sofia,rackbg
https://www.datacentermap.com/hungary/budapest/rackhost-data-center-budapest/,hungary,budapest,rackhost-data-center-budapest
https://www.datacentermap.com/hungary/szeged/rackhost-data-center-szeged/,hungary,szeged,rackhost-data-center-szeged
https://www.datacentermap.com/italy/venice/rackone/,italy,venice,rackone
https://www.datacentermap.com/lithuania/vilnius/rackray-data-center/,lithuania,vilnius,rackray-data-center
